Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
BOTJ/SFNC,Banks - Regional,0.9378,0.12796,624
FNLC/HBNC,Banks - Regional,0.9327,0.12798,624
ATLO/OCFC,Banks - Regional,0.9471,0.12831,624
FCCO/FRME,Banks - Regional,0.9725,0.12838,624
CAC/DCOM,Banks - Regional,0.9173,0.1284,624
ATLO/MGYR,Banks - Regional,0.8205,0.12874,624
FRST/LSBK,Banks - Regional,0.913,0.12906,624
FCCO/HTBK,Banks - Regional,0.932,0.12915,624
FNLC/LSBK,Banks - Regional,0.8703,0.12927,624
FNLC/MPB,Banks - Regional,0.9633,0.1294,624
KEY/LSBK,Banks - Regional,0.9132,0.12945,624
INDB/SBFG,Banks - Regional,0.944,0.12948,624
MGYR/PFS,Banks - Regional,0.8968,0.12948,624
CCNE/FNWD,Banks - Regional,0.9127,0.12985,624
LSBK/PNC,Banks - Regional,0.8459,0.13013,624
BOTJ/WAL,Banks - Regional,0.9154,0.13056,624
CZNC/SFBC,Banks - Regional,0.9251,0.13057,624
FISI/FRST,Banks - Regional,0.9326,0.13152,624
VLY/WTBA,Banks - Regional,0.8662,0.13167,624
HBAN/MGYR,Banks - Regional,0.9565,0.13179,624
CBFV/MBWM,Banks - Regional,0.942,0.13187,624
LSBK/SBFG,Banks - Regional,0.9284,0.1319,624
EGBN/FFIC,Banks - Regional,0.9468,0.13195,624
CCNE/FUNC,Banks - Regional,0.8601,0.13229,624
CVBF/PBHC,Banks - Regional,0.9491,0.13234,624
BCAL/HTBK,Banks - Regional,0.8482,0.13243,624
CZNC/RBCAA,Banks - Regional,0.8537,0.13299,624
SBFG/WBS,Banks - Regional,0.9458,0.13324,624
IBCP/SFBC,Banks - Regional,0.9646,0.13339,624
DCOM/MGYR,Banks - Regional,0.8731,0.13361,624
AUB/FNWD,Banks - Regional,0.8737,0.13376,624
BOTJ/FULT,Banks - Regional,0.9211,0.13376,624
CAC/CBAN,Banks - Regional,0.9647,0.13384,624
BOH/CAC,Banks - Regional,0.9546,0.1339,624
FFBC/HTBK,Banks - Regional,0.9232,0.13393,624
CTBI/FCCO,Banks - Regional,0.9566,0.13411,624
BOKF/LSBK,Banks - Regional,0.8433,0.13427,624
BOTJ/HBNC,Banks - Regional,0.9506,0.13432,624
CAC/FSFG,Banks - Regional,0.9742,0.13439,624
EBTC/SMBC,Banks - Regional,0.9395,0.13466,624
FCCO/LSBK,Banks - Regional,0.9255,0.13467,624
BOTJ/FCCO,Banks - Regional,0.944,0.13469,624
FFBC/SBFG,Banks - Regional,0.9222,0.13483,624
BCAL/MGYR,Banks - Regional,0.8707,0.13487,624
ATLO/FCCO,Banks - Regional,0.8508,0.13489,624
BOTJ/SFST,Banks - Regional,0.9406,0.13495,624
FCCO/FFBC,Banks - Regional,0.9595,0.13506,624
BCAL/FFBC,Banks - Regional,0.9126,0.13539,624
BOTJ/FNWD,Banks - Regional,0.9127,0.13542,624
CATY/MPB,Banks - Regional,0.9536,0.13548,624
HBCP/SMBK,Banks - Regional,0.9728,0.13565,624
MOFG/SBFG,Banks - Regional,0.8734,0.13578,624
CZNC/LSBK,Banks - Regional,0.9129,0.13588,624
CADE/LSBK,Banks - Regional,0.8848,0.13647,624
BOTJ/WASH,Banks - Regional,0.91,0.13662,624
MBCN/PLBC,Banks - Regional,0.9582,0.13671,624
ASB/MPB,Banks - Regional,0.9366,0.13672,624
ATLO/WASH,Banks - Regional,0.9264,0.13684,624
BOTJ/FFIC,Banks - Regional,0.842,0.13716,624
BOTJ/CZWI,Banks - Regional,0.9511,0.13733,624
PFS/WASH,Banks - Regional,0.9602,0.13745,624
FFIC/FLIC,Banks - Regional,0.9435,0.13766,624
DCOM/SBFG,Banks - Regional,0.8806,0.13767,624
NBTB/UNTY,Banks - Regional,0.9553,0.13784,624
BANR/SFBC,Banks - Regional,0.9527,0.13883,624
CADE/SFBC,Banks - Regional,0.9312,0.13883,624
BUSE/HBCP,Banks - Regional,0.9614,0.13897,624
INDB/PBHC,Banks - Regional,0.9184,0.13903,624
COFS/FDBC,Banks - Regional,0.9019,0.13941,624
EBTC/SFBC,Banks - Regional,0.9388,0.1395,624
BOTJ/CATY,Banks - Regional,0.9315,0.13966,624
CBFV/CTBI,Banks - Regional,0.9467,0.13979,624
FUNC/MBWM,Banks - Regional,0.958,0.1401,624
BANR/SMBK,Banks - Regional,0.9667,0.14012,624
ATLO/EBTC,Banks - Regional,0.8475,0.14023,624
CAC/USB,Banks - Regional,0.941,0.14024,624
EBTC/HBCP,Banks - Regional,0.9621,0.14026,624
BCAL/DCOM,Banks - Regional,0.8195,0.14029,624
CAC/SMBC,Banks - Regional,0.9437,0.14049,624
CCNE/FSFG,Banks - Regional,0.9368,0.1407,624
ATLO/FRME,Banks - Regional,0.8973,0.14097,624
ATLO/BRKL,Banks - Regional,0.9033,0.14101,624
AUB/BSRR,Banks - Regional,0.955,0.14109,624
DCOM/WASH,Banks - Regional,0.9304,0.14115,624
IBOC/NRIM,Banks - Regional,0.9614,0.14153,624
FNLC/HBCP,Banks - Regional,0.9586,0.14156,624
HBCP/PFBC,Banks - Regional,0.972,0.14193,624
CATY/FSFG,Banks - Regional,0.9374,0.14202,624
ABCB/CZWI,Banks - Regional,0.967,0.14214,624
FNLC/SFST,Banks - Regional,0.9203,0.14218,624
