Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run,,LBTYA/LBTYB,Telecom Services,0.9916,0.00086,624,,Telecom Services
FISI/LSBK,Banks - Regional,0.9362,0.07642,624,,,,,,,,
MFM/MYD,Asset Management,0.9893,0.07643,624,,,,,,,,
MMU/VCV,Asset Management,0.9736,0.07656,624,,,,,,,,
BLE/NXN,Asset Management,0.9415,0.0768,624,,,,,,,,
BTA/NXJ,Asset Management,0.992,0.07715,624,,,,,,,,
BTA/PMM,Asset Management,0.9906,0.07736,624,,,,,,,,
BOTJ/CBAN,Banks - Regional,0.9617,0.07757,624,,,,,,,,
FFBC/LSBK,Banks - Regional,0.8702,0.07781,624,,,,,,,,
EVN/NAD,Asset Management,0.9887,0.07819,624,,,,,,,,
FFBC/IBCP,Banks - Regional,0.9399,0.07824,624,,,,,,,,
EOT/NZF,Asset Management,0.9746,0.07833,624,,,,,,,,
DCOM/LSBK,Banks - Regional,0.8923,0.07865,624,,,,,,,,
BCAL/OSBC,Banks - Regional,0.9381,0.07932,624,,,,,,,,
BYM/FMN,Asset Management,0.9824,0.07988,624,,,,,,,,
IIM/MHF,Asset Management,0.9638,0.08005,624,,,,,,,,
CMU/EOT,Asset Management,0.9796,0.08047,624,,,,,,,,
BHK/IGI,Asset Management,0.9755,0.08059,624,,,,,,,,
EOT/NXN,Asset Management,0.9701,0.08076,624,,,,,,,,
ATLO/BOH,Banks - Regional,0.9084,0.08168,624,,,,,,,,
CATY/SFBC,Banks - Regional,0.97,0.08171,624,,,,,,,,
BYM/MUE,Asset Management,0.9899,0.08215,624,,,,,,,,
BFK/MVT,Asset Management,0.9852,0.08234,624,,,,,,,,
BYM/MPA,Asset Management,0.9887,0.08238,624,,,,,,,,
CMU/MFM,Asset Management,0.9897,0.08239,624,,,,,,,,
NNY/NXN,Asset Management,0.983,0.08257,624,,,,,,,,
ASB/BOTJ,Banks - Regional,0.9275,0.08292,624,,,,,,,,
GDO/WEA,Asset Management,0.9844,0.08297,624,,,,,,,,
BYM/VMO,Asset Management,0.9891,0.08362,624,,,,,,,,
CADE/IBCP,Banks - Regional,0.9676,0.08364,624,,,,,,,,
AFB/MUC,Asset Management,0.99,0.08387,624,,,,,,,,
BOTJ/CAC,Banks - Regional,0.9457,0.08398,624,,,,,,,,
MUC/MYI,Asset Management,0.9804,0.08431,624,,,,,,,,
AFB/EVN,Asset Management,0.9866,0.08433,624,,,,,,,,
BOTJ/UVSP,Banks - Regional,0.9487,0.08467,624,,,,,,,,
MQT/NAD,Asset Management,0.9913,0.08489,624,,,,,,,,
BTA/EOT,Asset Management,0.9653,0.08509,624,,,,,,,,
EOT/MYD,Asset Management,0.9804,0.08515,624,,,,,,,,
MYI/SBI,Asset Management,0.9874,0.08548,624,,,,,,,,
EVN/MHN,Asset Management,0.9801,0.08558,624,,,,,,,,
BYM/MUJ,Asset Management,0.9912,0.08562,624,,,,,,,,
