Ticker Pair,Industry,Correlation,Avg P-Value,Tests Run
BLE/EVN,Asset Management,0.9684,0.12534,624
BHK/JHS,Asset Management,0.9869,0.12554,624
MYD/VKQ,Asset Management,0.9788,0.12602,624
EVN/MQT,Asset Management,0.99,0.12606,624
IQI/NIM,Asset Management,0.9759,0.12619,624
EHI/WEA,Asset Management,0.9873,0.12638,624
MHN/MYN,Asset Management,0.9958,0.12639,624
IGI/MQY,Asset Management,0.9754,0.1264,624
NXN/VPV,Asset Management,0.9731,0.12643,624
JHS/PFD,Asset Management,0.9799,0.12643,624
NEA/VKQ,Asset Management,0.9898,0.12653,624
BGT/FRA,Asset Management,0.9959,0.12665,624
BFK/NAC,Asset Management,0.9838,0.12666,624
BFK/VKQ,Asset Management,0.9748,0.12698,624
NMI/NRK,Asset Management,0.962,0.1272,624
CXE/MFM,Asset Management,0.9876,0.12723,624
IIM/NAD,Asset Management,0.9889,0.12736,624
BNY/MUC,Asset Management,0.9781,0.1274,624
BFK/VGM,Asset Management,0.9799,0.12756,624
MHD/NAC,Asset Management,0.9866,0.12758,624
MPA/VGM,Asset Management,0.9844,0.12759,624
AFB/BLE,Asset Management,0.9797,0.12765,624
LEO/NAN,Asset Management,0.9748,0.12772,624
MHD/NXC,Asset Management,0.9471,0.12785,624
MUE/NOM,Asset Management,0.8572,0.12789,624
BFK/FMN,Asset Management,0.9841,0.12796,624
IQI/VGM,Asset Management,0.9955,0.12809,624
MQY/MYI,Asset Management,0.9907,0.12824,624
NXC/VBF,Asset Management,0.9578,0.12835,624
IQI/MHF,Asset Management,0.9653,0.12868,624
NIM/NRK,Asset Management,0.9758,0.12887,624
FMN/MQT,Asset Management,0.9821,0.1293,624
BKT/CXH,Asset Management,0.9613,0.12933,624
PCM/PTY,Asset Management,0.9606,0.12943,624
JHS/MCR,Asset Management,0.9585,0.12955,624
IQI/NRK,Asset Management,0.9923,0.12992,624
NNY/VCV,Asset Management,0.9699,0.13003,624
IGI/MUA,Asset Management,0.97,0.13015,624
AFB/NIM,Asset Management,0.9687,0.13018,624
OIA/PMX,Asset Management,0.9031,0.13027,624
MYN/NMI,Asset Management,0.9662,0.13032,624
MYN/NMT,Asset Management,0.9691,0.13035,624
EVN/VCV,Asset Management,0.9859,0.1306,624
MHF/MIY,Asset Management,0.9626,0.13065,624
MVF/NXN,Asset Management,0.9467,0.13079,624
BYM/MQY,Asset Management,0.9904,0.13092,624
MHD/MHN,Asset Management,0.9783,0.13094,624
MQT/MYI,Asset Management,0.9897,0.13104,624
BYM/NOM,Asset Management,0.8246,0.13194,624
MIY/PMO,Asset Management,0.9851,0.13213,624
MHF/MYN,Asset Management,0.9381,0.13253,624
EOT/HPF,Asset Management,0.9288,0.13255,624
BYM/NRK,Asset Management,0.9865,0.13289,624
MUA/MYD,Asset Management,0.9858,0.1329,624
MVT/NAD,Asset Management,0.9363,0.13295,624
BLE/MHD,Asset Management,0.9878,0.13305,624
FLC/JHS,Asset Management,0.9813,0.13309,624
HPI/PML,Asset Management,0.8475,0.13312,624
MHF/NNY,Asset Management,0.9528,0.13314,624
BKN/MQT,Asset Management,0.9866,0.13319,624
MUC/MVT,Asset Management,0.9798,0.13328,624
NIM/NNY,Asset Management,0.9741,0.13354,624
CXE/DSM,Asset Management,0.9853,0.13362,624
NUW/NXC,Asset Management,0.9731,0.13375,624
JMM/WEA,Asset Management,0.978,0.13399,624
JMM/MCR,Asset Management,0.9767,0.13424,624
MVT/SBI,Asset Management,0.9598,0.13426,624
IQI/NUW,Asset Management,0.9776,0.13429,624
NCA/NKX,Asset Management,0.9768,0.1343,624
EVN/MYN,Asset Management,0.9818,0.13445,624
DSM/NXN,Asset Management,0.9438,0.13455,624
IGI/PMO,Asset Management,0.969,0.13459,624
BKN/BYM,Asset Management,0.9841,0.13491,624
NIM/NUW,Asset Management,0.966,0.13495,624
IGI/NXP,Asset Management,0.9434,0.13498,624
AFB/MVT,Asset Management,0.9651,0.13506,624
MHN/NMI,Asset Management,0.9628,0.13509,624
MUC/MVF,Asset Management,0.9849,0.13514,624
MIY/NEA,Asset Management,0.986,0.13515,624
NAN/NMT,Asset Management,0.9748,0.1358,624
MPA/NUW,Asset Management,0.9669,0.13584,624
JHS/VBF,Asset Management,0.9746,0.13601,624
NXN/SBI,Asset Management,0.9617,0.13624,624
MMU/MYN,Asset Management,0.9665,0.13632,624
BYM/NXC,Asset Management,0.9688,0.13649,624
BKN/EVN,Asset Management,0.9749,0.13653,624
MHF/MYD,Asset Management,0.9335,0.13724,624
MYD/MYN,Asset Management,0.9868,0.13751,624
NIM/NUV,Asset Management,0.9837,0.13762,624
NXN/NZF,Asset Management,0.973,0.13768,624
MUJ/NXN,Asset Management,0.9735,0.1377,624
MCR/MMT,Asset Management,0.9947,0.13774,624
NAD/NUV,Asset Management,0.9896,0.13792,624
CXE/OIA,Asset Management,0.9413,0.13797,624
NIM/VBF,Asset Management,0.9758,0.13803,624
EOT/MVF,Asset Management,0.9632,0.13808,624
VGM/VMO,Asset Management,0.9962,0.13828,624
IQI/MPA,Asset Management,0.9857,0.13837,624
NEA/NXP,Asset Management,0.9622,0.13837,624
EVN/NIM,Asset Management,0.9743,0.13847,624
EOT/VCV,Asset Management,0.9713,0.13851,624
JHS/PAI,Asset Management,0.9767,0.13851,624
MQY/NMT,Asset Management,0.9637,0.13863,624
MMU/MVF,Asset Management,0.9857,0.13887,624
BYM/NKX,Asset Management,0.9825,0.139,624
NIM/VKQ,Asset Management,0.9727,0.13907,624
GDO/PAI,Asset Management,0.9791,0.13924,624
MQT/NMT,Asset Management,0.9656,0.13938,624
MHF/NZF,Asset Management,0.9657,0.13954,624
FMY/VBF,Asset Management,0.9243,0.13955,624
IGI/NCA,Asset Management,0.9678,0.13965,624
BFK/EVN,Asset Management,0.9724,0.13981,624
EOT/NNY,Asset Management,0.9758,0.13984,624
RJF/SPXX,Asset Management,0.9629,0.13985,624
MIY/VGM,Asset Management,0.9828,0.14004,624
NKX/NMT,Asset Management,0.964,0.14012,624
BYM/MHF,Asset Management,0.953,0.14027,624
BTA/MPA,Asset Management,0.9841,0.14035,624
IGI/MFM,Asset Management,0.9715,0.14037,624
BFK/VMO,Asset Management,0.9789,0.14054,624
BLE/MUC,Asset Management,0.9826,0.14063,624
CXH/VKQ,Asset Management,0.9878,0.14063,624
MHF/NAD,Asset Management,0.9696,0.14063,624
